Driving Report
Date,2023-07-14 18:01:04
Number of Yawning Events,1
Driving Skill Assessment,Bad
Driving Report
Date,2023-07-14 18:02:43
Number of Yawning Events,0
Driving Skill Assessment,Excellent
Driving Report
Date,2023-07-14 19:23:41
Number of Yawning Events,0
Driving Skill Assessment,Excellent
Driving Report
Date,2023-07-14 19:25:05
Number of Yawning Events,0
Driving Skill Assessment,Excellent
Driving Report
Date,2023-07-14 22:20:36
Number of Yawning Events,0
Driving Skill Assessment,Excellent
Driving Report
Date,2023-07-15 09:06:11
Number of Yawning Events,0
Driving Skill Assessment,Bad
Driving Report
Date,2023-07-15 10:06:35
Number of Yawning Events,0
Driving Skill Assessment,Excellent
Driving Report
Date,2023-07-15 10:51:56
Number of Yawning Events,0
Driving Skill Assessment,Excellent
Driving Report
Date,2023-07-15 11:21:47
Number of Yawning Events,2
Driving Skill Assessment,Bad
Driving Report
Date,2023-07-15 14:43:27
Number of Yawning Events,1
Driving Skill Assessment,Bad
Driving Report
Date,2023-07-15 15:03:59
Number of Yawning Events,1
Driving Skill Assessment,Good
Driving Report
Date,2023-07-15 15:35:22
Number of Yawning Events,1
Driving Skill Assessment,Bad
Driving Report
Date,2023-09-07 17:24:36
Number of Yawning Events,1
Driving Skill Assessment,Good
